Date,Open,High,Low,Close,Volume
2008-06-20,5.38804,5.44716,5.26642,5.2748,1053512563
2008-06-23,5.25983,5.29274,5.16314,5.21074,766306436
2008-06-24,5.17762,5.28936,5.16479,5.2138,738071320
2008-06-25,5.25145,5.38212,5.23281,5.33846,763678589
2008-06-26,5.2409,5.26149,5.05601,5.0633,1030559403
2008-06-27,5.00841,5.13251,4.94043,5.1182,1233169733
2008-06-30,5.11691,5.17635,5.01364,5.03955,811854722
2008-07-01,4.93715,5.25834,4.93547,5.25686,1318030699
2008-07-02,5.2681,5.34003,5.06135,5.06135,993934882
2008-07-03,5.10353,5.18067,4.98851,5.11937,621201032
2008-07-07,5.20592,5.33126,5.17268,5.27144,972622154
2008-07-08,5.27825,5.40754,5.1988,5.40301,1054125708
2008-07-09,5.42488,5.44427,5.2409,5.24384,1061950651
2008-07-10,5.26375,5.33688,5.15771,5.31579,996214372
2008-07-11,5.27746,5.33059,5.14648,5.19397,1103097397
2008-07-14,5.39393,5.39583,5.20817,5.23281,1050743377
2008-07-15,5.18482,5.22839,5.00722,5.1049,1233560569
2008-07-16,5.11791,5.20423,5.07327,5.20127,887396518
2008-07-17,5.23892,5.26582,5.15801,5.17014,897020298
2008-07-18,5.0623,5.10519,4.96494,4.96941,1023956897
2008-07-21,5.02259,5.04104,4.84836,5.00428,1512009729
2008-07-22,4.48105,4.89805,4.41002,4.87637,2226992946
2008-07-23,4.96941,5.06647,4.86178,5.00309,1256900808
2008-07-24,4.94453,4.97322,4.76866,4.78579,996152855
2008-07-25,4.82619,4.90486,4.77505,4.87891,750973454
2008-07-28,4.88078,4.88888,4.63539,4.64653,926243703
2008-07-29,4.67194,4.7985,4.62378,4.72715,811541867
2008-07-30,4.74597,4.83034,4.69751,4.81112,859440768
2008-07-31,4.74577,4.88148,4.7237,4.78342,755730392
2008-08-01,4.81319,4.81486,4.68693,4.71464,646418742
2008-08-04,4.71247,4.7517,4.60229,4.61116,701167126
2008-08-05,4.67954,4.83892,4.65915,4.83398,816555882
2008-08-06,4.81418,5.03857,4.75444,4.94189,939051194
2008-08-07,4.90177,5.00062,4.86,4.92288,797619239
2008-08-08,4.93304,5.10519,4.92828,5.10194,847126646
2008-08-11,5.11937,5.31165,5.10578,5.22297,1056960612
2008-08-12,5.22129,5.39553,5.22129,5.31874,992084236
2008-08-13,5.35787,5.41681,5.29322,5.39583,999605019
2008-08-14,5.36151,5.4311,5.35148,5.39611,843573493
2008-08-15,5.38873,5.40921,5.2681,5.28811,840476790
2008-08-18,5.27696,5.35058,5.23083,5.27805,654329321
2008-08-19,5.24601,5.3291,5.17014,5.22198,730748784
2008-08-20,5.26062,5.32533,5.22444,5.29125,601549058
2008-08-21,5.25389,5.27962,5.17238,5.24524,640468117
2008-08-22,5.29509,5.34131,5.28306,5.32042,521716788
2008-08-25,5.29362,5.30298,5.16599,5.19271,574712726
2008-08-26,5.19646,5.26276,5.19467,5.22521,528649681
2008-08-27,5.21074,5.28887,5.18117,5.25666,565587801
2008-08-28,5.27548,5.30367,5.19929,5.22839,511393399
2008-08-29,5.20177,5.22099,5.08696,5.10124,711109577
2008-09-02,5.19271,5.22099,4.96494,5.00112,926423538
2008-09-03,5.02527,5.07562,4.93547,5.02409,871972181
2008-09-04,4.98793,5.05355,4.83922,4.85163,881581006
2008-09-05,4.76498,4.88729,4.74449,4.82028,933211775
2008-09-08,4.95195,4.9615,4.55735,4.75229,1241140728
2008-09-09,4.72005,4.81398,4.5074,4.56415,1476511992
2008-09-10,4.58939,4.66398,4.47813,4.56187,1154812349
2008-09-11,4.56187,4.60467,4.39356,4.59401,1150398388
2008-09-12,4.53764,4.54189,4.40903,4.48185,940917194
2008-09-15,4.27284,4.444,4.22385,4.22385,1090982313
2008-09-16,4.02183,4.28792,3.9767,4.20966,1422231858
2008-09-17,4.16235,4.1675,3.84622,3.84622,1423493926
2008-09-18,3.92839,4.21292,3.63138,4.03494,1987521902
2008-09-19,4.23658,4.34006,4.10125,4.2406,1697903890
2008-09-22,4.2069,4.22001,3.93186,3.94328,1015767778
2008-09-23,3.96082,4.08688,3.8119,3.81763,1517583560
2008-09-24,3.83398,3.94033,3.76599,3.87362,1242302606
2008-09-25,3.91302,4.05591,3.8678,3.97059,1189832691
2008-09-26,3.76156,3.90613,3.70192,3.85863,1335829781
2008-09-29,3.59531,3.60122,3.02737,3.16769,3108871299
2008-09-30,3.25875,3.46077,3.19865,3.42029,1929645720
2008-10-01,3.36666,3.38107,3.23176,3.28409,1538400347
